ID,MAXX,MAXY,MINX,MINY,NAME_AR,NAME_EN,X,Y
1,36.7338700340001,28.6146399670001,36.3338700340001,28.2146399670001,تبوك,TABUK,36.5338700340001,28.4146399670001
2,35.9493100310001,28.505079946,35.5493100310001,28.105079946,نعمي,NAu0027MI,35.7493100310001,28.305079946
3,46.9333300320001,24.8999999610001,46.5333300320001,24.4999999610001,الرياض,RIYADH,46.7333300320001,24.6999999610001
4,35.5801300020002,28.8515200140001,35.1801300020002,28.4515200140001,حميط,HUMAYT,35.3801300020002,28.6515200140001
5,40.6166700250001,21.4684800490002,40.2166700250001,21.0684800490002,الطائف,AT TAIF,40.4166700250001,21.2684800490002
6,40.04349001,21.6271799440001,39.64349001,21.2271799440001,مكة المكرمة,MAKKAH AL MUKARRAMAH,39.84349001,21.427179944000102
7,37.435560015,29.807519989,37.035560015,29.407519989,رجم الطيارة,RAJM AT TAYARAH,37.235560015000004,29.607519989
8,37.3672600210002,30.131839951,36.9672600210002,29.731839951,الثميد,ATH THUMAYD,37.1672600210002,29.931839951
9,37.1804600580001,30.0993900610001,36.7804600580001,29.6993900610001,عسيلة,u0027ASILLAH,36.980460058000105,29.899390061000098
10,41.8973300180001,27.7305499900001,41.4973300180001,27.3305499900001,حائل,HAIL,41.6973300180001,27.5305499900001
11,44.174359974,26.53033999,43.774359974,26.13033999,بريدة,BURAYDAH,43.974359973999995,26.33033999
12,49.8043598570001,25.5665500300001,49.4043598570001,25.1665500300001,الهفوف,AL HUFUF,49.604359857000105,25.3665500300001
13,50.309199808,26.64199002,49.909199808,26.24199002,الدمام,DAMMAM,50.109199808,26.44199002
14,39.807810061,24.6705799620001,39.407810061,24.2705799620001,المدينة المنورة,AL MADINAH AL MUNAWWARAH,39.607810060999995,24.4705799620001
15,42.700000019,18.4166699970001,42.300000019,18.0166699970001,ابها,ABHA,42.500000019,18.2166699970001
16,36.2720599880001,29.3638100210002,35.8720599880001,28.9638100210002,حالة عمار,HALAT AMMAR,36.072059988000106,29.163810021000202
17,42.7536000090001,17.0967199480002,42.3536000090001,16.6967199480002,جازان,JAZAN,42.5536000090001,16.8967199480002
18,39.3809499510001,21.688179961,38.9809499510001,21.288179961,جدة,JEDDAH,39.1809499510001,21.488179961
19,36.880100059,29.2663099850001,36.480100059,28.8663099850001,الشايب,ASH SHAYIB,36.680100059,29.0663099850001
20,36.414399943,28.4716800350001,36.014399943,28.0716800350001,الفوهة,AL FAWHAH,36.214399943000004,28.271680035000102
21,35.7282099750002,28.636359947,35.3282099750001,28.236359947,اللوز,AL LAWZ,35.52820997500015,28.436359947
22,36.9510100240001,27.7567799780002,36.5510100240001,27.3567799780002,عين الأخضر,u0027AYN AL AKHDAR,36.751010024000095,27.5567799780002
23,36.3648000070001,29.2549100130002,35.9648000070001,28.8549100130002,ذات الحاج,DHAT AL HAJJ,36.164800007000096,29.0549100130002
24,45.5390199400002,26.1074299640001,45.1390199400002,25.7074299640001,المجمعة,AL MAJMAu0027AH,45.3390199400002,25.9074299640001
25,35.234990006,28.351739955,34.834990006,27.951739955,قيال,QIYAL,35.034990006,28.151739955
26,37.2819099480001,28.3081299730002,36.8819099480001,27.9081299730002,الاخضر,AL AKHDAR,37.0819099480001,28.1081299730002
27,36.729460059,28.006880022,36.329460059,27.606880022,البديعة,AL BADIu0027AH,36.529460059,27.806880022
28,37.8674099560001,29.4967699910002,37.4674099560001,29.0967699910002,مغيرة,MUGHAYRAH,37.6674099560001,29.2967699910002
29,38.7697199810001,29.1848500550002,38.369719981,28.7848500550002,الهوجاء,AL HAWJAu0027,38.56971998100005,28.9848500550002
30,36.2043999650002,29.3110899510001,35.8043999650002,28.9110899510001,البديع,AL BADIu0027,36.004399965000204,29.1110899510001
31,50.4107497460002,26.510909972,50.0107497460001,26.110909972,الخبر,AL KHOBAR,50.21074974600015,26.310909972
32,36.5501000150001,28.1445599860001,36.1501000150001,27.7445599860001,ابار قنا,ABAR QANA,36.350100015000095,27.9445599860001
33,38.851390051,28.4897499460001,38.451390051,28.0897499460001,الجبعاوية,AL JABu0027AWIYAH,38.651390051,28.2897499460001
34,35.1387900210002,29.4357500030001,34.7387900210002,29.0357500030001,الحميضة,AL HUMAYDAH,34.9387900210002,29.2357500030001
35,35.585699948,29.3339299700001,35.185699948,28.9339299700001,البيانة,AL BAYYANAH,35.385699947999996,29.1339299700001
36,35.1486300280001,29.5010299750001,34.7486300280001,29.1010299750001,حقل,HAQL,34.948630028000096,29.301029975000098
37,35.161929997,29.5541400030001,34.761929997,29.1541400030001,الدرة,AD DURRAH,34.961929997,29.3541400030001
38,35.7170028518015,29.0719879924467,35.3170028518015,28.6719879924467,الزيتة,AZ ZAYTAH,35.5170028518015,28.871987992446698
39,35.6247100420001,29.252229966,35.2247100420001,28.852229966,علقان,u0027ALAQAN,35.4247100420001,29.052229966
40,35.2315499880001,29.3573900070001,34.8315499880001,28.9573900070001,الوادي الجديد,AL WADI AL JADID,35.031549988000094,29.1573900070001
41,35.6009699460001,29.3680499940001,35.2009699460001,28.9680499940001,مليح,MULAYH,35.4009699460001,29.1680499940001
42,35.395980018,29.4021799560001,34.995980018,29.0021799560001,ابو الحنشان,ABU AL HINSHAN,35.195980018,29.2021799560001
43,34.9363999640002,28.6048599490002,34.5363999640002,28.2048599490002,مقنا,MAQNA,34.7363999640002,28.404859949000198
44,46.1629800410002,28.5752700370001,45.7629800410001,28.1752700370001,ابو قعر,ABU QAu0027AR,45.96298004100015,28.3752700370001
